uid,level,text,links,short name,additional notes,mission success criteria,rationale,reviewed,verification plan
SCI-01,1,The system shall observe signals in the X-band(10 GHz).,"Mission-01,Mission-02",Observe in X-Band,,,,,
SCI-02,1,The system shall use a receiver for astronomical observation.,Mission-03,Receiver for Astro. Observation,,,,,
SCI-03,1,The system shall be able to observe objects located at up to 80 degrees elevation.,Mission-01,Maximum Elevation 80 Deg.,,,,,
SCI-04,1,The system shall be equipped with a modern control system.,Mission-01,Modern Control System,,,,,
SCI-05,1,The system shall deploy an air lock on cabin door if left open.,Mission-04,Airlock for Cabin Door,,,,,
SCI-06,1,The system shall be able to point to a specified point in the sky.,Mission-01,Point to Specific Point,,,,,
SCI-07,1,The system shall safely observe by cooling 1 and 3 mm receivers.,Mission-04,1/3mmReceiver Cooling ,,,,,
SCI-08,1,The system shall accept a stream of manual or automated pointing commands.,Mission-01,Accept Stream Commands,,,,,
SCI-09,1,The system shall observe in the 1 mm and 3 mm range.,Mission-03,Observe in 1&3 mm,,,,,
SCI-10,1,The system shall avoid dangerous loads.,Mission-04,Avoid Dangerous Loads,,,,,
SCI-11,1,The system shall have a stowable antenna for power outage occurrence.,Mission-04,Stowable Antenna for Outage,,,,,
SCI-12,1,The system shall have the capability to lock all moving parts during maintenance or emergency.,Mission-04,Capable Lock Moving Parts,,,,,
SCI-13,1,The system shall collect information on the antenna's position even when it is not pointing to a degree of accuracy within 1 arcsec. ,Mission-02,Track Location at all Times,,,,,
SCI-14,1,"The system shall be able to track at 0.1 degrees per second, elevation angular speed 0.1 degrees/second.",Mission-01,Track 0.1 Deg/Sec,,,,,
